indicator_id,Date,Hour,geo_id,value
1777,2024-07-10,19,8741,4182.5
1777,2024-07-10,20,8741,4279.3
1777,2024-07-10,21,8741,4162.5
1777,2024-07-10,22,8741,4157.5
1777,2024-07-10,23,8741,4221.3
1777,2024-07-10,24,8741,4212.5
1777,2024-07-11,1,8741,3429.5
1777,2024-07-11,2,8741,3449.5
1777,2024-07-11,3,8741,3462.0
1777,2024-07-11,4,8741,3452.8
1777,2024-07-11,5,8741,3369.0
1777,2024-07-11,6,8741,3202.3
1777,2024-07-11,7,8741,2995.8
1777,2024-07-11,8,8741,2819.8
1777,2024-07-11,9,8741,2651.5
1777,2024-07-11,10,8741,2479.8
1777,2024-07-11,11,8741,2546.5
1777,2024-07-11,12,8741,3136.0
1777,2024-07-11,13,8741,3808.3
1777,2024-07-11,14,8741,4582.8
1777,2024-07-11,15,8741,5692.5
1777,2024-07-11,16,8741,6241.3
1777,2024-07-11,17,8741,6925.3
1777,2024-07-11,18,8741,7503.0
1777,2024-07-11,19,8741,7974.0
1777,2024-07-11,20,8741,8294.0
1777,2024-07-11,21,8741,8499.5
1777,2024-07-11,22,8741,8720.3
1777,2024-07-11,23,8741,8878.3
1777,2024-07-11,24,8741,9013.0
1777,2024-07-12,1,8741,8578.8
1777,2024-07-12,2,8741,8485.3
1777,2024-07-12,3,8741,8360.3
1777,2024-07-12,4,8741,8281.0
1777,2024-07-12,5,8741,8210.8
1777,2024-07-12,6,8741,8139.0
1777,2024-07-12,7,8741,8099.3
1777,2024-07-12,8,8741,7962.0
1777,2024-07-12,9,8741,7626.3
1777,2024-07-12,10,8741,7125.5
1777,2024-07-12,11,8741,6711.8
1777,2024-07-12,12,8741,6498.3
1777,2024-07-12,13,8741,6480.0
1777,2024-07-12,14,8741,6592.0
1777,2024-07-12,15,8741,6830.5
1777,2024-07-12,16,8741,7040.8
1777,2024-07-12,17,8741,7332.5
1777,2024-07-12,18,8741,7671.5
1777,2024-07-12,19,8741,8090.5
1777,2024-07-12,20,8741,8512.8
1777,2024-07-12,21,8741,8803.8
1777,2024-07-12,22,8741,9106.3
1777,2024-07-12,23,8741,9374.3
1777,2024-07-12,24,8741,9412.3
1777,2024-07-13,1,8741,8823.0
1777,2024-07-13,2,8741,8391.0
1777,2024-07-13,3,8741,7886.5
1777,2024-07-13,4,8741,7411.5
1777,2024-07-13,5,8741,7080.0
1777,2024-07-13,6,8741,6583.5
1777,2024-07-13,7,8741,6001.5
1777,2024-07-13,8,8741,5469.8
1777,2024-07-13,9,8741,4751.5
1777,2024-07-13,10,8741,4116.8
1777,2024-07-13,11,8741,3675.0
1777,2024-07-13,12,8741,3400.8
1777,2024-07-13,13,8741,3379.5
1777,2024-07-13,14,8741,3598.3
1777,2024-07-13,15,8741,4021.3
1777,2024-07-13,16,8741,4489.0
1777,2024-07-13,17,8741,5039.8
1777,2024-07-13,18,8741,5728.0
1777,2024-07-13,19,8741,6430.3
1777,2024-07-13,20,8741,6959.0
1777,2024-07-13,21,8741,6912.0
1777,2024-07-13,22,8741,6761.5
1777,2024-07-13,23,8741,6341.8
1777,2024-07-13,24,8741,5842.8
1777,2024-07-14,1,8741,5367.8
1777,2024-07-14,2,8741,5032.8
1777,2024-07-14,3,8741,5026.0
1777,2024-07-14,4,8741,4955.3
1777,2024-07-14,5,8741,4778.3
1777,2024-07-14,6,8741,4539.5
1777,2024-07-14,7,8741,4359.3
1777,2024-07-14,8,8741,4134.5
1777,2024-07-14,9,8741,3796.3
1777,2024-07-14,10,8741,3371.8
1777,2024-07-14,11,8741,3182.8
1777,2024-07-14,12,8741,3246.8
1777,2024-07-14,13,8741,3510.3
1777,2024-07-14,14,8741,3710.3
1777,2024-07-14,15,8741,4237.3
1777,2024-07-14,16,8741,4563.3
1777,2024-07-14,17,8741,4925.8
1777,2024-07-14,18,8741,5430.0
1777,2024-07-14,19,8741,5997.0
1777,2024-07-14,20,8741,6331.3
1777,2024-07-14,21,8741,6473.3
1777,2024-07-14,22,8741,6505.3
1777,2024-07-14,23,8741,6431.5
1777,2024-07-14,24,8741,6245.5
1777,2024-07-15,1,8741,6320.5
1777,2024-07-15,2,8741,6416.5
1777,2024-07-15,3,8741,6662.3
1777,2024-07-15,4,8741,6874.8
1777,2024-07-15,5,8741,7086.8
1777,2024-07-15,6,8741,7059.5
1777,2024-07-15,7,8741,7143.8
1777,2024-07-15,8,8741,7227.3
1777,2024-07-15,9,8741,7191.3
1777,2024-07-15,10,8741,7164.0
1777,2024-07-15,11,8741,7345.3
1777,2024-07-15,12,8741,7709.8
1777,2024-07-15,13,8741,8099.0
1777,2024-07-15,14,8741,8407.5
1777,2024-07-15,15,8741,8769.5
1777,2024-07-15,16,8741,9030.5
1777,2024-07-15,17,8741,9401.3
1777,2024-07-15,18,8741,9578.3
1777,2024-07-15,19,8741,9608.0
1777,2024-07-15,20,8741,9474.8
1777,2024-07-15,21,8741,9168.8
1777,2024-07-15,22,8741,8923.8
1777,2024-07-15,23,8741,8745.3
1777,2024-07-15,24,8741,8456.3
1777,2024-07-16,1,8741,7966.5
1777,2024-07-16,2,8741,7459.0
1777,2024-07-16,3,8741,6858.0
1777,2024-07-16,4,8741,6233.0
1777,2024-07-16,5,8741,5572.5
1777,2024-07-16,6,8741,4890.3
1777,2024-07-16,7,8741,4312.8
1777,2024-07-16,8,8741,3621.0
1777,2024-07-16,9,8741,2893.5
1777,2024-07-16,10,8741,2233.8
1777,2024-07-16,11,8741,1729.8
1777,2024-07-16,12,8741,1461.5
1777,2024-07-16,13,8741,1376.3
1777,2024-07-16,14,8741,1428.5
